stable_draw_id,advertised_jackpot_minor_units,jackpot_winner_count,rollover,multiplier,extra_draw_data,prize_tiers_json
powerball-1995-03-08,,,,,,[]
powerball-1995-03-11,,,,,,[]
powerball-1995-03-15,,,,,,[]
powerball-1995-03-18,,,,,,[]
powerball-1995-03-22,,,,,,[]
powerball-1995-03-25,,,,,,[]
powerball-1995-03-29,,,,,,[]
powerball-1995-04-01,,,,,,[]
powerball-1995-04-05,,,,,,[]
powerball-1995-04-08,,,,,,[]
powerball-1995-04-12,,,,,,[]
powerball-1995-04-15,,,,,,[]
powerball-1995-04-19,,,,,,[]
powerball-1995-04-22,,,,,,[]
powerball-1995-04-26,,,,,,[]
powerball-1995-04-29,,,,,,[]
powerball-1995-05-03,,,,,,[]
powerball-1995-05-06,,,,,,[]
powerball-1995-05-10,,,,,,[]
powerball-1995-05-13,,,,,,[]
powerball-1995-05-17,,,,,,[]
powerball-1995-05-20,,,,,,[]
powerball-1995-05-24,,,,,,[]
powerball-1995-05-27,,,,,,[]
powerball-1995-05-31,,,,,,[]
powerball-1995-06-03,,,,,,[]
powerball-1995-06-07,,,,,,[]
powerball-1995-06-10,,,,,,[]
powerball-1995-06-14,,,,,,[]
powerball-1995-06-17,,,,,,[]
powerball-1995-06-21,,,,,,[]
powerball-1995-06-24,,,,,,[]
powerball-1995-06-28,,,,,,[]
powerball-1995-07-01,,,,,,[]
powerball-1995-07-05,,,,,,[]
powerball-1995-07-08,,,,,,[]
powerball-1995-07-12,,,,,,[]
powerball-1995-07-15,,,,,,[]
powerball-1995-07-19,,,,,,[]
powerball-1995-07-22,,,,,,[]
powerball-1995-07-26,,,,,,[]
powerball-1995-07-29,,,,,,[]
powerball-1995-08-02,,,,,,[]
powerball-1995-08-05,,,,,,[]
powerball-1995-08-09,,,,,,[]
powerball-1995-08-12,,,,,,[]
powerball-1995-08-16,,,,,,[]
powerball-1995-08-19,,,,,,[]
powerball-1995-08-23,,,,,,[]
powerball-1995-08-26,,,,,,[]
powerball-1995-08-30,,,,,,[]
powerball-1995-09-02,,,,,,[]
powerball-1995-09-06,,,,,,[]
powerball-1995-09-09,,,,,,[]
powerball-1995-09-13,,,,,,[]
powerball-1995-09-16,,,,,,[]
powerball-1995-09-20,,,,,,[]
powerball-1995-09-23,,,,,,[]
powerball-1995-09-27,,,,,,[]
powerball-1995-09-30,,,,,,[]
powerball-1995-10-04,,,,,,[]
powerball-1995-10-07,,,,,,[]
powerball-1995-10-11,,,,,,[]
powerball-1995-10-14,,,,,,[]
powerball-1995-10-18,,,,,,[]
powerball-1995-10-21,,,,,,[]
powerball-1995-10-25,,,,,,[]
powerball-1995-10-28,,,,,,[]
powerball-1995-11-01,,,,,,[]
powerball-1995-11-04,,,,,,[]
powerball-1995-11-08,,,,,,[]
powerball-1995-11-11,,,,,,[]
powerball-1995-11-15,,,,,,[]
powerball-1995-11-18,,,,,,[]
powerball-1995-11-22,,,,,,[]
powerball-1995-11-25,,,,,,[]
powerball-1995-11-29,,,,,,[]
powerball-1995-12-02,,,,,,[]
powerball-1995-12-06,,,,,,[]
powerball-1995-12-09,,,,,,[]
powerball-1995-12-13,,,,,,[]
powerball-1995-12-16,,,,,,[]
powerball-1995-12-20,,,,,,[]
powerball-1995-12-23,,,,,,[]
powerball-1995-12-27,,,,,,[]
powerball-1995-12-30,,,,,,[]
powerball-1996-01-03,,,,,,[]
powerball-1996-01-06,,,,,,[]
powerball-1996-01-10,,,,,,[]
powerball-1996-01-13,,,,,,[]
powerball-1996-01-17,,,,,,[]
powerball-1996-01-20,,,,,,[]
powerball-1996-01-24,,,,,,[]
powerball-1996-01-27,,,,,,[]
powerball-1996-01-31,,,,,,[]
powerball-1996-02-03,,,,,,[]
powerball-1996-02-07,,,,,,[]
powerball-1996-02-10,,,,,,[]
powerball-1996-02-14,,,,,,[]
powerball-1996-02-17,,,,,,[]
powerball-1996-02-21,,,,,,[]
powerball-1996-02-24,,,,,,[]
powerball-1996-02-28,,,,,,[]
powerball-1996-03-02,,,,,,[]
powerball-1996-03-06,,,,,,[]
powerball-1996-03-09,,,,,,[]
powerball-1996-03-13,,,,,,[]
powerball-1996-03-16,,,,,,[]
powerball-1996-03-20,,,,,,[]
powerball-1996-03-23,,,,,,[]
powerball-1996-03-27,,,,,,[]
